"","ModuleID","Species","GeneID"
"179",21,"OLI","R037767c0g1_i02"
"180",22,"AEP","g12231"
"181",22,"OLI","R036820c0g1_i01"
"182",23,"AEP","g1753"
"183",23,"OLI","R038557c0g2_i03"
"184",24,"AEP","g14074"
"185",24,"AEP","g17948"
"186",24,"AEP","g23426"
"187",24,"OLI","R039699c2g1_i01"
"188",25,"AEP","g10529"
"189",25,"AEP","g11187"
"190",25,"AEP","g12703"
"191",25,"AEP","g12892"
"192",25,"AEP","g13876"
"193",25,"AEP","g11755"
"194",25,"AEP","g14109"
"195",25,"AEP","g13932"
"196",25,"AEP","g15544"
"197",25,"AEP","g14975"
"198",25,"AEP","g15545"
"199",25,"AEP","g16117"
"200",25,"AEP","g1722"
"201",25,"AEP","g18384"
"202",25,"AEP","g18385"
"203",25,"AEP","g15557"
"204",25,"AEP","g18389"
"205",25,"AEP","g18717"
"206",25,"AEP","g210"
"207",25,"AEP","g14330"
"208",25,"AEP","g17366"
"209",25,"AEP","g23107"
"210",25,"AEP","g23855"
"211",25,"AEP","g24092"
"212",25,"AEP","g27102"
"213",25,"AEP","g20375"
"214",25,"AEP","g28693"
"215",25,"AEP","g29711"
"216",25,"AEP","g3055"
"217",25,"AEP","g30617"
"218",25,"AEP","g31071"
"219",25,"AEP","g31895"
"220",25,"AEP","g32848"
"221",25,"AEP","g32935"
"222",25,"AEP","g32860"
"223",25,"AEP","g32939"
"224",25,"AEP","g31412"
"225",25,"AEP","g32864"
"226",25,"AEP","g3338"
"227",25,"AEP","g4763"
"228",25,"AEP","g5843"
"229",25,"AEP","g6620"
"230",25,"AEP","g6952"
"231",25,"AEP","g5283"
"232",25,"AEP","g8117"
"233",25,"AEP","g7067"
"234",25,"AEP","g5350"
"235",25,"AEP","g7066"
"236",25,"AEP","g843"
"237",25,"AEP","g8192"
"238",25,"AEP","g8516"
"239",25,"AEP","g8517"
"240",25,"OLI","R038051c0g1_i05"
"241",25,"OLI","R041379c4g5_i02"
"242",25,"OLI","R040029c0g1_i01"
"243",25,"OLI","R037574c0g1_i06"
"244",25,"OLI","R039554c1g1_i02"
"245",25,"OLI","R038312c0g1_i05"
"246",25,"OLI","R039664c0g1_i03"
"247",25,"OLI","R040535c0g1_i03"
"248",25,"OLI","R040199c0g1_i01"
"249",25,"OLI","R040000c0g1_i01"
"250",25,"OLI","R037933c0g1_i03"
"251",25,"OLI","R018468c0g1_i01"
"252",25,"OLI","R039986c0g1_i04"
"253",25,"OLI","R035123c2g3_i01"
"254",25,"OLI","R037396c0g1_i01"
"255",25,"OLI","R038975c0g2_i01"
"256",25,"OLI","R036265c0g2_i02"
"257",25,"OLI","R040666c0g1_i01"
"258",25,"OLI","R038626c0g1_i01"
"259",25,"OLI","R029258c0g1_i01"
"260",25,"OLI","R040531c0g2_i03"
